WHO.lineage	pangolin.lineage	synonym	cdc.classification
Omicron	XBF	BA.5.2.3+CJ.1	VOC
Omicron	XBJ	BA.2.3.20+BA.5.2	VOC
Omicron	XBM	XBM	VOC
Omicron	XBP	XBP	VOC
Delta/Omicron	XD	AY.4+BA.1	VOC
Omicron	XE	BA.1+BA.2	VOC
Delta/Omicron	XF	AY.4+BA.1	VOC
Omicron	XG	BA.1+BA.2	VOC
Omicron	XH	BA.1+BA.2	VOC
Omicron	XL	BA.1+BA.2	VOC
Omicron	XN	BA.1+BA.2	VOC
Omicron	XQ	BA.1.1+BA.2	VOC
Omicron	XS	BA.1.1+BA.2	VOC
Omicron	XV	BA.1+BA.2	VOC
Omicron	XW	BA.1+BA.2	VOC
Omicron	XZ	BA.2+BA.1	VOC
